iso3,country_name,income_tier,mean_brightness,total_light,p90_brightness,lit_fraction,light_density,spatial_dispersion,hotspot_count,gini,entropy,urban_concentration
AFG,Afghanistan,Low,0.004804910626262426,19.6809139251709,0.0002137483679689467,0.038330078125,0.12059980630874634,0.31677018785047945,25,0.8656206074924053,3.169617951511579,0.3951888084411621
BDI,Burundi,Low,0.002777228830382228,11.375529289245605,0.0,0.022705078125,0.11876021325588226,0.2701558570844018,9,0.8097389635451238,3.201284614143068,0.37392494082450867
BFA,Burkina Faso,Low,0.0034477279987186193,14.121893882751465,0.00017300326726399362,0.02783203125,0.1184425875544548,0.26774446143794284,19,0.8914073067455248,3.2149713473996906,0.44347643852233887
CAF,Central African Rep.,Low,0.00045363506069406867,1.8580892086029053,0.0,0.0048828125,0.08900735527276993,0.2574998103761438,1,0.8380836272054144,2.341446071165522,0.5617513656616211
COD,Dem. Rep. Congo,Low,0.003071873914450407,12.582395553588867,4.7472869482589886e-05,0.0185546875,0.16064785420894623,0.41873797600000534,14,0.9263299366038238,3.2634065711447793,0.409525990486145
ERI,Eritrea,Low,0.0006762677803635597,2.7699928283691406,0.0,0.00341796875,0.1950923204421997,0.11549586866727823,4,0.8246832381293501,2.692380602454975,0.36612701416015625
ETH,Ethiopia,Low,0.005115375388413668,20.952577590942383,0.0005420418456196785,0.035888671875,0.13672101497650146,0.23279929762237622,28,0.8735688286549832,3.417541746213681,0.38434088230133057
GIN,Guinea,Low,0.002412007190287113,9.879581451416016,0.0,0.018798828125,0.12453529983758926,0.3195029865364605,10,0.8678398201106812,2.985173308726417,0.40177324414253235
GMB,Gambia,Low,0.008491120301187038,34.77962875366211,0.0,0.049072265625,0.17084699869155884,0.3069145626058031,9,0.7751222421987165,3.966316816853925,0.29660212993621826
GNB,Guinea-Bissau,Low,0.0013700538547709584,5.611740589141846,0.0,0.00537109375,0.2527269423007965,0.19052235457884342,2,0.7815188135586468,3.51602764126623,0.3560483753681183
HTI,Haiti,Low,0.00450623594224453,18.457542419433594,0.0,0.02490234375,0.17737191915512085,0.3059843205055524,14,0.8116691582785971,3.7989234310696394,0.3218729794025421
LBR,Liberia,Low,0.002122059464454651,8.69195556640625,0.0,0.0126953125,0.16363734006881714,0.28299019776817,6,0.8128906231302815,3.516807506186579,0.3431270122528076
MDG,Madagascar,Low,0.0014418319333344698,5.905743598937988,0.0,0.012939453125,0.10460332781076431,0.3368301589041593,6,0.8572915362549594,2.8228023525027295,0.5067877173423767
MLI,Mali,Low,0.004225263372063637,17.306678771972656,0.0,0.02734375,0.1523539125919342,0.21617312509549447,23,0.8021557237615853,3.7179170558556396,0.31229832768440247
MOZ,Mozambique,Low,0.0047887712717056274,19.61480712890625,0.00015712407184764743,0.034423828125,0.13417388498783112,0.3776555749401145,21,0.8713094417231315,3.3547959480050453,0.38201165199279785
MWI,Malawi,Low,0.004196562804281712,17.18912124633789,0.0,0.036376953125,0.11122886836528778,0.3514384182196181,16,0.8511568222326742,3.0871504346805274,0.4410010874271393
NER,Niger,Low,0.0032084814738482237,13.141940116882324,0.0,0.01806640625,0.1722766011953354,0.2699828397960775,15,0.8631997477238791,3.4373922998460427,0.30934691429138184
PRK,North Korea,Low,0.006767467595636845,27.719547271728516,0.00023022455570753664,0.0341796875,0.19230644404888153,0.3333914964236425,17,0.8613170051241665,3.892289569489804,0.25746408104896545
RWA,Rwanda,Low,0.008205841295421124,33.61112594604492,0.0039503565058112144,0.072998046875,0.10872984677553177,0.2627598053873908,14,0.8122930681029219,3.262367793464886,0.3963962495326996
SLE,Sierra Leone,Low,0.0023038028739392757,9.436376571655273,0.0,0.014892578125,0.15187807381153107,0.2966055802687696,14,0.7417310088761855,3.7875421438100196,0.34915077686309814
SOM,Somalia,Low,0.0009706835262477398,3.975919723510742,0.0,0.007080078125,0.13149626553058624,0.29193638087025786,8,0.8489257198768634,2.968533149628565,0.39944741129875183
SSD,S. Sudan,Low,0.0010719973361119628,4.3909010887146,0.0,0.00830078125,0.12652793526649475,0.3144809751805992,7,0.7773230256872772,3.262352611691213,0.33086350560188293
SYR,Syria,Low,0.01335778646171093,54.71349334716797,0.009483959525823593,0.098388671875,0.13287298381328583,0.4214124023477994,46,0.8242466382634797,3.692760119148984,0.352957159280777
TCD,Chad,Low,0.0010285911848768592,4.213109493255615,0.0,0.00439453125,0.2264428734779358,0.24623570579948592,5,0.9168169955044538,2.905764584655453,0.2453402727842331
TGO,Togo,Low,0.007810829672962427,31.9931583404541,0.0045344107784330845,0.067626953125,0.11064230650663376,0.36913301372008267,13,0.8261037355788836,3.3095751715779795,0.388553261756897
UGA,Uganda,Low,0.00633876072242856,25.963563919067383,0.001381422858685255,0.04638671875,0.1312805563211441,0.2690814230076889,17,0.8664856756803845,3.314087640957248,0.3761580288410187
YEM,Yemen,Low,0.007413678802549839,30.36642837524414,0.0011621109442785382,0.0537109375,0.13399550318717957,0.31198759482026356,29,0.8550721089122364,3.543903048123096,0.35051241517066956
AGO,Angola,Lower-Middle,0.003156611928716302,12.929482460021973,0.0,0.02099609375,0.14580722153186798,0.31790894660956576,10,0.9037194939699122,3.4373031669870855,0.39701879024505615
BEN,Benin,Lower-Middle,0.004653987940400839,19.062734603881836,0.00022899976465851068,0.033935546875,0.13176381587982178,0.263746034476758,9,0.862896921090641,3.3883862855915043,0.3692866563796997
BGD,Bangladesh,Lower-Middle,0.0396285317838192,162.31846618652344,0.11264631897211075,0.341552734375,0.115169458091259,0.3004374693585598,81,0.6055417823152838,3.7329908148407016,0.30087926983833313
BOL,Bolivia,Lower-Middle,0.005637306720018387,23.090408325195312,0.0013834149576723576,0.040283203125,0.13281424343585968,0.24998995618024522,19,0.9168043267278707,3.117642099285126,0.45632198452949524
BTN,Bhutan,Lower-Middle,0.007698828354477882,31.534400939941406,0.0025415215641260147,0.068115234375,0.10974916815757751,0.36377675515279057,32,0.78025433927627,3.4271561452836043,0.37034541368484497
CIV,Côte d'Ivoire,Lower-Middle,0.02944811061024666,120.61946105957031,0.05682514235377312,0.375732421875,0.0764622613787651,0.33053103440453974,108,0.7027492865081151,2.920276969323904,0.4225790798664093
CMR,Cameroon,Lower-Middle,0.0036805574782192707,15.075563430786133,0.0001593391934875399,0.02783203125,0.12638814747333527,0.31320075228719374,16,0.8820756126709255,3.2462981651208507,0.4111643135547638
COG,Congo,Lower-Middle,0.001666627824306488,6.826507568359375,0.0,0.0068359375,0.23706626892089844,0.2815460238828704,3,0.9399647060172898,3.2943360657504512,0.4519532024860382
DJI,Djibouti,Lower-Middle,0.0014976372476667166,6.134322166442871,0.0,0.012451171875,0.11834060400724411,0.2342333850647117,7,0.7134772397969662,3.2503510785336447,0.40424636006355286
EGY,Egypt,Lower-Middle,0.017135940492153168,70.18881225585938,0.008673534728586674,0.097412109375,0.17378108203411102,0.27292700937473985,19,0.7914411059715281,4.32285566356717,0.24981459975242615
GHA,Ghana,Lower-Middle,0.02060336247086525,84.39137268066406,0.03656639903783798,0.188720703125,0.1046646311879158,0.3373014278576067,51,0.8348055214921619,3.315840194845835,0.40287303924560547
GUY,Guyana,Lower-Middle,0.0033677457831799984,13.794286727905273,0.0,0.015625,0.20828673243522644,0.22779615555517563,8,0.8951210750477481,3.5725299787950355,0.2965128719806671
HND,Honduras,Lower-Middle,0.01487062033265829,60.91006088256836,0.01912497729063034,0.134521484375,0.10674973577260971,0.26967703483048794,46,0.8056171978936699,3.3502758472040934,0.39162784814834595
IND,India,Lower-Middle,0.04640181362628937,190.06182861328125,0.15643686056137085,0.325439453125,0.1420578956604004,0.2690292303413814,68,0.5594556849678476,4.141348564314612,0.23920956254005432
IRQ,Iraq,Lower-Middle,0.013985827565193176,57.28594970703125,0.01866135001182556,0.13623046875,0.099375419318676,0.2962372213335729,44,0.8155235620160781,3.1992277526554513,0.4148212671279907
KEN,Kenya,Lower-Middle,0.006996902171522379,28.659311294555664,0.0026876050978899,0.064697265625,0.10416565090417862,0.24673169291917454,22,0.8278704677427313,3.252688297093737,0.41583478450775146
KGZ,Kyrgyzstan,Lower-Middle,0.016963697969913483,69.48330688476562,0.016515426337718964,0.11962890625,0.13872115314006805,0.3392026131303402,34,0.8147183934048765,3.7539034001057536,0.3357342481613159
LKA,Sri Lanka,Lower-Middle,0.024589693173766136,100.7193832397461,0.05382862687110901,0.22509765625,0.10647495836019516,0.32334747205168823,50,0.7585263792407086,3.5158835367641412,0.36055421829223633
LSO,Lesotho,Lower-Middle,0.004174988251179457,17.100751876831055,0.0,0.028076171875,0.1464112550020218,0.3001982007136622,13,0.7757561231169317,3.585226521747552,0.3282283544540405
MAR,Morocco,Lower-Middle,0.00797292310744524,32.6570930480957,0.0016406731447204947,0.060791015625,0.12801440060138702,0.2020841111917544,33,0.836081913107507,3.565999916773063,0.35842373967170715
MMR,Myanmar,Lower-Middle,0.008359663188457489,34.241180419921875,0.005858555436134338,0.079345703125,0.10117363929748535,0.22971946729401527,40,0.8187870843177547,3.2300710177724867,0.41474449634552
MNG,Mongolia,Lower-Middle,0.00418661255389452,17.148365020751953,0.001053964952006936,0.033447265625,0.1171707957983017,0.27080384771652727,22,0.8870207283975746,3.050239610958124,0.43607190251350403
MRT,Mauritania,Lower-Middle,0.0015827439492568374,6.482919216156006,0.0,0.0126953125,0.11989618837833405,0.26470138735417403,6,0.8626417711952497,2.6518671913789555,0.4782124161720276
NGA,Nigeria,Lower-Middle,0.012020645663142204,49.23656463623047,0.004713471978902817,0.07666015625,0.15212604403495789,0.2994640597147455,36,0.8958877544953026,3.7659741280527035,0.325560063123703
NIC,Nicaragua,Lower-Middle,0.009192097932100296,37.65083312988281,0.0040403795428574085,0.076171875,0.117377869784832,0.23946977820546145,34,0.8264446835874493,3.399937078703181,0.3811482787132263
NPL,Nepal,Lower-Middle,0.021892160177230835,89.6702880859375,0.01951250433921814,0.121337890625,0.1773989200592041,0.3098955834511362,26,0.770417121087817,4.303777089963857,0.24459700286388397
PAK,Pakistan,Lower-Middle,0.014895157888531685,61.01056671142578,0.021030589938163757,0.12939453125,0.11236800998449326,0.27780852276865414,25,0.7751924612003507,3.6353561265626997,0.33822640776634216
PHL,Philippines,Lower-Middle,0.009415804408490658,38.567134857177734,0.004438954871147871,0.075927734375,0.12036672234535217,0.33859750724745646,27,0.8357282167443865,3.432852957253995,0.38702380657196045
PNG,Papua New Guinea,Lower-Middle,0.0009304666891694069,3.8111915588378906,0.0,0.00439453125,0.20921561121940613,0.17492557941402775,3,0.7330932450815528,3.080500530640267,0.2655421197414398
PSE,Palestine,Lower-Middle,0.07700426876544952,315.40948486328125,0.2018950879573822,0.59814453125,0.1277855932712555,0.34624406789404255,64,0.6184660191303994,3.97852355744502,0.29145190119743347
SDN,Sudan,Lower-Middle,0.00662318617105484,27.128570556640625,0.0,0.046630859375,0.13948100805282593,0.2630905569049212,24,0.8131689780867233,3.6440240915621738,0.3311264216899872
SEN,Senegal,Lower-Middle,0.007638121023774147,31.285743713378906,0.003666065400466323,0.062255859375,0.11718761175870895,0.2660987658759282,17,0.8603672404920679,3.2160121414895584,0.4097329080104828
SLB,Solomon Is.,Lower-Middle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SLV,El Salvador,Lower-Middle,0.02260449156165123,92.58799743652344,0.04115206003189087,0.20556640625,0.10708003491163254,0.3026520122247745,41,0.7756853798364978,3.4384628094106513,0.37615641951560974
SWZ,eSwatini,Lower-Middle,0.015141995623707771,62.02161407470703,0.018973033875226974,0.125732421875,0.11760152876377106,0.3024790571893782,37,0.7485063842899151,3.6610535061914917,0.3411441445350647
TJK,Tajikistan,Lower-Middle,0.012281466275453568,50.30488586425781,0.00812260340899229,0.091552734375,0.12993769347667694,0.2763359846073053,23,0.8318303159599398,3.6900753214550894,0.34417974948883057
TUN,Tunisia,Lower-Middle,0.015366394072771072,62.94075012207031,0.02281120792031288,0.138427734375,0.10772433131933212,0.283967658235929,60,0.8191722544570816,3.419952439791481,0.38059523701667786
TZA,Tanzania,Lower-Middle,0.00842877384275198,34.52425765991211,0.004131885711103678,0.066162109375,0.12135862559080124,0.3398621635783029,36,0.8654794945188062,3.314098025459868,0.39741477370262146
UKR,Ukraine,Lower-Middle,0.007381502538919449,30.234634399414062,0.0026275806594640017,0.061279296875,0.1158754751086235,0.28873681594277467,36,0.8648339515024064,3.3375366040556234,0.40465033054351807
UZB,Uzbekistan,Lower-Middle,0.009532060474157333,39.04331970214844,0.0004583646368701011,0.062744140625,0.15012015402317047,0.2437748485584087,18,0.7672722964362193,4.052177658722062,0.27953675389289856
VNM,Vietnam,Lower-Middle,0.015628313645720482,64.0135726928711,0.018221266567707062,0.122802734375,0.1243075355887413,0.3610346929032059,32,0.8100586898330655,3.7046931920629103,0.3446785509586334
VUT,Vanuatu,Lower-Middle,0.0006323974230326712,2.5902998447418213,0.0,0.002197265625,0.2828947901725769,0.11833606380522203,2,0.7260360779982269,2.94770277922009,0.39276477694511414
ZMB,Zambia,Lower-Middle,0.00481895636767149,19.738445281982422,0.0,0.0283203125,0.16594818234443665,0.2964780653305099,18,0.8742261956100124,3.784174929793046,0.30269062519073486
ZWE,Zimbabwe,Lower-Middle,0.007820114493370056,32.03118896484375,0.0011224517365917563,0.046142578125,0.16465267539024353,0.28742163733872617,30,0.8587071466542364,3.659643791391493,0.3136453330516815
ALB,Albania,Upper-Middle,0.020976509898900986,85.91978454589844,0.03766356408596039,0.171630859375,0.11945445090532303,0.30234168529922484,43,0.7853995978871104,3.649508487280174,0.3493543863296509
ARG,Argentina,Upper-Middle,0.01874259114265442,76.7696533203125,0.03011208400130272,0.17041015625,0.10654989629983902,0.2888534270831971,78,0.8375052363686024,3.29839275192382,0.3985240161418915
ARM,Armenia,Upper-Middle,0.009342601522803307,38.267295837402344,0.005111402831971645,0.0810546875,0.11199605464935303,0.2999138542886208,17,0.7954468183183863,3.480230110383187,0.3562711477279663
AZE,Azerbaijan,Upper-Middle,0.01719585433602333,70.43421936035156,0.024177860468626022,0.155517578125,0.10665673017501831,0.3212344349896719,46,0.8166393209887044,3.2701889199303458,0.41483941674232483
BIH,Bosnia and Herz.,Upper-Middle,0.034285902976989746,140.43505859375,0.08691764622926712,0.2568359375,0.1315191239118576,0.31410762993415486,74,0.7326871260072625,3.91868552596037,0.3095720410346985
BLR,Belarus,Upper-Middle,0.014425121247768402,59.085296630859375,0.01159227080643177,0.107666015625,0.128145232796669,0.3195900525994335,49,0.8758510782505808,3.502274131050436,0.38164013624191284
BLZ,Belize,Upper-Middle,0.008178853429853916,33.50058364868164,0.002499639056622982,0.07177734375,0.11130593717098236,0.3417596259134293,26,0.7706469965911789,3.4024275815646425,0.3721978962421417
BRA,Brazil,Upper-Middle,0.02078411914408207,85.13175201416016,0.03692787513136864,0.181640625,0.11159008741378784,0.27190402960924287,60,0.8076191191806756,3.4670801074884894,0.3851790726184845
BWA,Botswana,Upper-Middle,0.004788551479578018,19.613906860351562,0.0,0.0341796875,0.13583986461162567,0.2928048010648498,19,0.8427982914123935,3.519208513425686,0.34539514780044556
CHN,China,Upper-Middle,0.02681192010641098,109.82162475585938,0.05823437124490738,0.195556640625,0.13484422862529755,0.2666943905922845,56,0.8158205855685774,3.8713646639702066,0.3349998891353607
COL,Colombia,Upper-Middle,0.011914948932826519,48.80363082885742,0.01051631011068821,0.10205078125,0.11294397711753845,0.21990674587941533,41,0.8393235138810338,3.405172936168054,0.3785112798213959
CRI,Costa Rica,Upper-Middle,0.0151896420866251,62.216773986816406,0.022653084248304367,0.148681640625,0.09851573407649994,0.3019363908677677,32,0.7944423688721383,3.2083064764341316,0.432380348443985
CUB,Cuba,Upper-Middle,0.009072685614228249,37.161720275878906,0.005415173247456551,0.082763671875,0.10629986971616745,0.38520494173435205,33,0.8269105212958501,3.245954517273291,0.39946144819259644
DOM,Dominican Rep.,Upper-Middle,0.019422363489866257,79.55400085449219,0.030036024749279022,0.170166015625,0.11085538566112518,0.30235372089749224,45,0.8025471981941474,3.440315930089939,0.3749818205833435
DZA,Algeria,Upper-Middle,0.013185721822082996,54.00871658325195,0.008913097903132439,0.095703125,0.13544945418834686,0.2313538870997392,43,0.7808064035074609,3.932720570427928,0.3026733696460724
ECU,Ecuador,Upper-Middle,0.021090079098939896,86.38496398925781,0.03263697028160095,0.177001953125,0.11599300056695938,0.28936988047723256,48,0.8181382823495882,3.506847630041619,0.3778151869773865
FJI,Fiji,Upper-Middle,0.001164717017672956,4.770680904388428,0.0,0.005859375,0.19711236655712128,0.22018591067398388,6,0.6572310797976597,3.688721875540867,0.3619168996810913
GAB,Gabon,Upper-Middle,0.0047842045314610004,19.596101760864258,0.0009436983382329345,0.030517578125,0.1478441208600998,0.31321044243447566,14,0.9077731765266663,2.9794278240834045,0.37877732515335083
GEO,Georgia,Upper-Middle,0.014599889516830444,59.8011474609375,0.02606865018606186,0.14501953125,0.09786025434732437,0.3071905980176293,44,0.7723517818004182,3.2872901599984177,0.3758947551250458
GNQ,Eq. Guinea,Upper-Middle,0.005799447651952505,23.75453758239746,0.0015687710838392377,0.04443359375,0.12417534738779068,0.36294941618674725,12,0.8708623654225705,3.259124143994272,0.42303988337516785
GTM,Guatemala,Upper-Middle,0.01695242151618004,69.43711853027344,0.023534098640084267,0.148193359375,0.11083962768316269,0.2639373897119443,48,0.8036193402470835,3.435784450436894,0.3741702139377594
IDN,Indonesia,Upper-Middle,0.005709782708436251,23.387269973754883,0.0,0.044189453125,0.12704995274543762,0.25384584674002636,18,0.7848744622266417,3.424051456304765,0.3872795104980469
IRN,Iran,Upper-Middle,0.02713876962661743,111.160400390625,0.051541876047849655,0.238037109375,0.11077512055635452,0.32458947562000157,82,0.8079137292009857,3.4478995499322984,0.3763183355331421
JAM,Jamaica,Upper-Middle,0.03564810752868652,146.0146484375,0.07994788885116577,0.3427734375,0.10260605067014694,0.3145404212000425,50,0.7053096150189346,3.4076232871337493,0.37449634075164795
